sku,name,category,price
000002,Tamara,boots,79500
000004,Jeffrey,sandals,79500
000002,John,boots,7100
000002,Lester,sneakers,7900
000002,Theodore,sneakers,7900
000002,Bobby,sneakers,79500
000003,Elise,boots,7100
000003,Arnold,sneakers,7100
000004,Leo,sandals,1900
000004,Berry,boots,1900
000003,Kirk,boots,79500
000003,Norma,boots,1900
000005,Alicia,boots,1900
000001,Carl,sandals,79500
000001,Martin,sandals,1900
000002,Lesa,boots,7100
000003,Guy,boots,7900
000005,Vernon,boots,7900
000001,Robert,boots,1900
000005,Barbara,sandals,7100
000001,Catherine,boots,1900
000004,Theresa,boots,1900
000005,Robert,sneakers,1900
000004,Georgia,boots,7100
000001,Tommy,boots,1900
000001,Denise,boots,5900
000002,Leona,sandals,79500
000003,Judith,boots,7100
000004,Gracie,boots,1900
000003,Dana,boots,1900
000004,Willie,boots,1900
000001,David,boots,1900
000003,Kenneth,boots,79500
000002,Mark,sandals,5900
000005,Kathy,sandals,7900
000005,Noella,boots,7100
000005,Raul,boots,7900
000005,Darren,boots,7100
000005,Terra,boots,7100
000002,Lucien,sandals,1900
000003,John,sandals,1900
000002,Michael,sneakers,7900
000005,Antonio,boots,5900
000004,Jocelyn,boots,1900
000004,David,sandals,7900
000005,Lisa,sandals,1900
000003,Felix,sandals,79500
000004,Mary,sneakers,79500
000003,Merrilee,sandals,1900
000003,Phillip,boots,7100
000003,Tara,sandals,7100
000005,Walter,boots,1900
000002,Gertrude,sandals,7100
000005,Todd,sandals,5900
000001,John,sandals,5900
000001,Debra,sneakers,1900
000002,Katherine,sandals,7900
000001,Juan,boots,1900
000003,Edward,sandals,1900
000001,Samuel,sneakers,7100
000001,Robert,boots,7100
000001,Kathryn,sandals,5900
000002,Kevin,boots,7100
000004,Terri,sneakers,7900
000001,Louise,sandals,1900
000003,John,sandals,7100
000005,Thomas,sandals,5900
000005,Duane,sneakers,79500
000002,Wanda,sneakers,79500
000005,David,sandals,1900
000001,Harry,boots,7100
000001,Jennifer,boots,1900
000002,Mildred,boots,1900
000003,John,sandals,7900
000001,Ai,sandals,79500
000002,Corey,boots,1900
000002,Hugh,sandals,7900
000001,Clinton,boots,7100
000003,Evelyn,boots,79500
000001,Mina,sneakers,7100
000005,Dawn,sandals,5900
000001,Nicole,sandals,7900
000004,Lisa,boots,7100
000001,Misty,sandals,5900
000005,Janet,boots,79500
000001,Thelma,boots,7900
000003,Anthony,boots,1900
000004,Jerry,boots,7900
000003,Jessica,sandals,1900
000003,Ruth,sneakers,7900
000001,Timothy,boots,7900
000001,Joshua,boots,5900
000002,Richard,sneakers,7900
000002,Pam,sandals,7100
000001,Steven,boots,5900
000004,Garrett,sneakers,7900
000005,Lenora,sneakers,1900
000005,John,boots,7100
000004,Cara,sandals,79500
000003,Tyler,sneakers,1900
000005,Noah,boots,7100
000002,Florence,boots,1900
000004,Rosemarie,boots,79500
000002,Ronald,boots,79500
000005,Alex,boots,1900
000002,Josephine,sneakers,7900
000004,Marilyn,sandals,7100
000004,Joseph,sandals,1900
000002,Mark,sandals,7900
000003,Sherry,sandals,1900
000002,Steve,sandals,1900
000002,Ella,boots,7900
000003,Linda,sneakers,5900
000001,James,sneakers,5900
000004,Yvonne,boots,7100
000002,Larry,sandals,7100
000005,Joellen,sneakers,7100
000005,Fred,boots,1900
000004,Chrystal,boots,79500
000001,Tamera,boots,1900
000004,Jackie,sandals,5900
000002,Adam,sneakers,79500
000003,Paul,boots,79500
000002,Ira,boots,1900
000003,Darius,boots,7100
000005,Charles,sandals,7100
000001,Donna,boots,79500
000005,Christopher,sandals,5900
000002,Thomas,boots,5900
000001,Christopher,boots,5900
000005,Jessica,sandals,5900
000003,Joseph,sneakers,7900
000003,Betty,boots,79500
000002,Suzanne,sneakers,79500
000004,Jonathan,sneakers,7900
000002,Rita,boots,7900
000005,Melvin,sandals,5900
000004,Michael,sneakers,7100
000004,Charlotte,sandals,7100
000005,Bonnie,sandals,7900
000003,Eric,sneakers,7900
000003,Marie,sandals,79500
000003,Evelia,sneakers,7100
000002,Bruce,sandals,1900
000005,Donna,sandals,79500
000002,Gary,boots,79500
000001,Jacob,sneakers,5900
000003,Jack,boots,7900
000004,Mandi,boots,7900
000001,Gary,sandals,5900
000004,Abbie,boots,7900
000005,Don,boots,5900
000001,Craig,boots,7900
000004,Preston,sneakers,5900
000003,Brian,boots,1900
000003,Javier,boots,7900
000001,Ron,boots,7900
000002,Betty,sandals,7900
000003,Beverly,boots,5900
000003,Jenice,boots,1900
000001,Floyd,sandals,5900
000001,Emilio,boots,7100
000003,Jimmy,boots,1900
000005,Mary,sandals,7900
000004,Mary,sneakers,7100
000001,Lawrence,sandals,5900
000002,Walter,boots,5900
000003,Gerald,boots,5900
000001,Nelson,sandals,7900
000002,Rafael,boots,7100
000002,Ella,boots,7100
000005,Jesus,sneakers,5900
000003,Sarah,sandals,79500
000002,Eva,sneakers,1900
000001,Thomas,sandals,1900
000002,Kristin,boots,79500
000004,Allen,boots,5900
000003,Douglas,sandals,7100
000003,Vaughn,sandals,7900
000002,Debra,sandals,7900
000002,Richard,sandals,1900
000001,Larry,boots,7900
000005,Beverly,boots,5900
000001,Antonio,boots,1900
000005,Martin,boots,7900
000001,Richard,sandals,79500
000002,Joseph,sneakers,7100
000001,Viola,boots,7100
000004,Jose,sandals,1900
000005,Grace,sneakers,7900
000002,Jerry,boots,79500
000004,Marcia,sneakers,79500
000004,Samantha,boots,1900
000003,Robert,boots,5900
000002,Priscilla,boots,5900
000003,Ray,sandals,1900
000003,Phyllis,boots,7100
000005,Denise,sandals,7100
000005,Solomon,sandals,7100
000002,Eunice,sandals,7100
000003,Gregory,sneakers,1900
000005,Melissa,sneakers,1900
000004,Antonio,boots,7100
000004,Jesus,boots,1900
000004,Tommy,sandals,7100
000004,Clara,sandals,1900
000004,Samuel,sandals,7900
000001,Lyle,sandals,1900
000002,Carol,sneakers,5900
000003,Gary,boots,79500
000002,Marlene,boots,7100
000005,Deborah,sandals,1900
000004,David,sandals,1900
000005,Susan,sneakers,1900
000005,Juan,sandals,1900
000005,Chrystal,sandals,7900
000002,Meagan,sandals,7900
000001,Lonnie,sandals,5900
000003,Mark,boots,7100
000003,David,sandals,7900
000004,Joseph,sneakers,79500
000001,Carrie,boots,7900
000005,Dulce,sneakers,5900
000001,Richard,sandals,5900
000002,Bessie,boots,5900
000005,David,boots,7100
000004,Michael,sandals,5900
000002,Jackie,sandals,1900
000001,Peter,boots,1900
000004,Susan,boots,7900
000003,Lola,sneakers,1900
000005,John,sandals,5900
000001,Jimmy,sandals,5900
000002,Gina,boots,79500
000001,Reginald,sneakers,7100
000003,Fabiola,sandals,79500
000003,Carolyn,boots,7100
000001,Shanna,boots,7900
000003,Harold,sandals,5900
000002,Mary,boots,79500
000003,Andrew,sandals,1900
000001,Ira,sandals,7100
000003,Stephanie,boots,7100
000001,Richard,sneakers,7100
000001,Anthony,sneakers,7900
000003,Frank,boots,79500
000005,Cory,sandals,7100
000005,Wade,boots,7900
000002,Karen,boots,1900
000005,Todd,boots,1900
000004,Matthew,sneakers,1900
000002,Angela,sneakers,7900
000001,Brunilda,boots,5900
000004,Randy,boots,1900
000001,Andrew,sandals,79500
000003,Theola,sandals,7100
000005,Catherine,sandals,5900
000001,Laura,sandals,79500
000002,Phyllis,sneakers,5900
000001,Joyce,sandals,1900
000005,Judith,boots,7900
000003,Jewel,sandals,1900
000005,Jillian,sandals,7100
000001,Lindsey,boots,79500
000005,Amanda,boots,5900
000004,Robert,sandals,79500
000003,Steven,sneakers,1900
000003,Mary,sandals,1900
000005,Travis,sneakers,79500
000001,Harold,sneakers,5900
000001,Richard,sandals,1900
000003,Darin,sneakers,5900
000005,Matthew,boots,7900
000003,Adam,sandals,5900
000003,Stephanie,boots,1900
000003,Megan,sandals,7100
000004,Jean,sandals,79500
000003,Charlotte,boots,1900
000003,Paul,sneakers,1900
000005,Molly,sandals,79500
000002,Patricia,sandals,5900
000004,Brooks,sneakers,5900
000003,Barbara,boots,79500
000005,Rita,boots,79500
000005,Dorothy,sandals,1900
000004,Melissa,sandals,7900
000001,Georgia,sandals,79500
000005,Nathan,sandals,1900
000005,Mona,sandals,5900
000005,Patrice,sandals,5900
000005,Jorge,sandals,79500
000001,William,sandals,79500
000001,Tony,sandals,1900
000004,Michael,sandals,7100
000004,Stanley,sandals,7100
000004,Corine,boots,1900
000005,Charlie,sandals,79500
000001,David,sandals,7100
000002,Neal,sandals,79500
000003,Ramon,sandals,7100
000005,Rachel,sandals,79500
000001,Nicholas,boots,1900
000005,Marcelle,sandals,5900
000001,Sherrill,boots,7900
000001,Christine,boots,5900
000001,Craig,boots,7100
000002,Betty,sandals,7900
000005,Charles,sneakers,79500
000005,Alanna,sandals,79500
000002,Anna,boots,79500
000003,Mary,sandals,5900
000005,Carlos,sandals,79500
000003,Latoya,boots,7900
000004,Jeffrey,boots,79500
000004,Beverly,boots,1900
000002,Norman,sneakers,5900
000004,Penny,sandals,7900
000004,Mary,boots,1900
000003,Julia,sneakers,7100
000005,Rodger,boots,7100
000002,Marvin,sandals,7100
000001,David,boots,5900
000005,Kevin,sandals,5900
000005,Bruce,sandals,5900
000005,Kelly,sandals,1900
000003,Arthur,boots,7900
000002,Clara,sandals,5900
000002,Sallie,sneakers,5900
000003,Gary,boots,1900
000005,Benjamin,sandals,79500
000005,Susan,boots,7900
000005,Frank,boots,7900
000003,Henry,sneakers,7100
000005,Elvira,sandals,7100
000001,Richard,sandals,1900
000005,Ryan,sneakers,79500
000004,Angela,sneakers,5900
000005,Hattie,sneakers,79500
000001,Elijah,boots,7900
000001,Jacob,sandals,1900
000001,Melinda,boots,5900
000002,Leah,sandals,1900
000002,Pamela,sandals,79500
000005,Doris,sandals,5900
000005,April,sneakers,79500
000001,William,boots,7900
000005,Brandon,sandals,1900
000005,Theresa,boots,7100
000003,Theresa,boots,5900
000005,Delbert,boots,5900
000003,Connie,sandals,1900
000003,Angela,boots,7900
000004,John,sneakers,7100
000002,Brian,sandals,7100
000003,Ian,sneakers,79500
000001,Paula,sandals,1900
000001,Francis,boots,1900
000004,Jason,sandals,1900
000004,Russell,sandals,1900
000005,Felicia,boots,79500
000005,Darin,sneakers,1900
000003,Eugene,sandals,1900
000001,Donald,sandals,5900
000002,Jenny,sandals,7100
000001,Doris,sandals,7900
000005,Lenora,boots,1900
000001,Robert,sandals,7100
000002,Carmen,sandals,7100
000002,James,sandals,7100
000003,Christopher,sneakers,7900
000005,Diana,boots,1900
000005,Vincent,sneakers,7900
000005,Alice,sneakers,5900
000003,Judy,boots,7900
000002,Eddie,boots,7900
000005,Brandon,sandals,7100
000003,Kevin,boots,1900
000002,Kelly,sneakers,1900
000001,Bobby,sandals,7900
000005,Michele,sandals,1900
000001,Karla,sandals,79500
000005,Alton,sandals,7100
000005,Edith,sneakers,7900
000002,Raymond,boots,7900
000002,Rebecca,sandals,7900
000002,Michael,sneakers,7100
000005,Essie,boots,7900
000001,Diane,sneakers,1900
000005,William,sneakers,1900
000002,Anna,sandals,1900
000002,Gabriela,sneakers,7900
000002,Mary,boots,79500
000005,George,boots,5900
000004,Todd,sandals,7900
000003,Milton,boots,7900
000005,John,boots,7100
000001,Adam,sandals,79500
000004,Donna,boots,1900
000004,Eric,sandals,79500
000002,Leonard,boots,5900
000004,Angelo,sandals,7100
000004,Aaron,boots,5900
000004,Joye,sandals,7100
000004,Shannon,sneakers,7100
000002,Angela,boots,79500
000004,Ryan,boots,1900
000003,Matthew,boots,7900
000001,Helen,sandals,79500
000002,Violet,boots,5900
000004,Mike,sneakers,7100
000005,Michael,sandals,7100
000004,Catherine,sandals,7100
000003,Marina,boots,7900
000002,Minnie,sandals,7900
000003,Billy,sandals,79500
000005,Shirley,boots,1900
000003,Catherine,boots,5900
000001,Amy,sneakers,79500
000005,Concetta,sandals,7900
000001,Kenneth,sneakers,79500
000002,Joseph,sneakers,7100
000003,Thomas,sandals,7100
000003,Michael,sandals,79500
000002,Mary,boots,7900
000002,Billie,sandals,5900
000002,Howard,sneakers,5900
000005,Sheri,sandals,1900
000001,Tammy,sandals,1900
000002,Angela,sandals,1900
000003,Eugene,boots,7900
000005,Patricia,sandals,7900
000001,Marco,sandals,7100
000003,Joyce,sandals,5900
000002,Henry,boots,7100
000005,Kevin,boots,7100
000002,Marjorie,sandals,7900
000001,Ryan,boots,7100
000001,Dana,sneakers,5900
000001,Richard,sandals,79500
000004,Joan,sandals,7900
000001,John,sandals,7900
000004,Kimberly,sneakers,1900
000004,Suellen,boots,7100
000002,Wilfred,boots,5900
000001,Leonardo,sandals,5900
000002,Stuart,sandals,5900
000001,Sharla,boots,79500
000002,Phillip,sandals,7100
000005,Nancy,sandals,79500
000001,Craig,sneakers,79500
000005,Betty,boots,7900
000004,Susan,sneakers,7900
